location,year,bloom_doy,lat,long,bloom_date,alt,tempmax_01,tempmax_02,tempmax_03,tempmax_04,tempmax_05,tempmax_06,tempmax_07,tempmax_08,tempmax_09,tempmax_10,tempmax_11,tempmax_12,tempmin_01,tempmin_02,tempmin_03,tempmin_04,tempmin_05,tempmin_06,tempmin_07,tempmin_08,tempmin_09,tempmin_10,tempmin_11,tempmin_12,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,dew_01,dew_02,dew_03,dew_04,dew_05,dew_06,dew_07,dew_08,dew_09,dew_10,dew_11,dew_12,humidity_01,humidity_02,humidity_03,humidity_04,humidity_05,humidity_06,humidity_07,humidity_08,humidity_09,humidity_10,humidity_11,humidity_12,precip_01,precip_02,precip_03,precip_04,precip_05,precip_06,precip_07,precip_08,precip_09,precip_10,precip_11,precip_12,precipprob_01,precipprob_02,precipprob_03,precipprob_04,precipprob_05,precipprob_06,precipprob_07,precipprob_08,precipprob_09,precipprob_10,precipprob_11,precipprob_12,precipcover_01,precipcover_02,precipcover_03,precipcover_04,precipcover_05,precipcover_06,precipcover_07,precipcover_08,precipcover_09,precipcover_10,precipcover_11,precipcover_12,snowdepth_01,snowdepth_02,snowdepth_03,snowdepth_04,snowdepth_05,snowdepth_06,snowdepth_07,snowdepth_08,snowdepth_09,snowdepth_10,snowdepth_11,snowdepth_12,windgust_01,windgust_02,windgust_03,windgust_04,windgust_05,windgust_06,windgust_07,windgust_08,windgust_09,windgust_10,windgust_11,windgust_12,windspeed_01,windspeed_02,windspeed_03,windspeed_04,windspeed_05,windspeed_06,windspeed_07,windspeed_08,windspeed_09,windspeed_10,windspeed_11,windspeed_12,windspeedmax_01,windspeedmax_02,windspeedmax_03,windspeedmax_04,windspeedmax_05,windspeedmax_06,windspeedmax_07,windspeedmax_08,windspeedmax_09,windspeedmax_10,windspeedmax_11,windspeedmax_12,windspeedmean_01,windspeedmean_02,windspeedmean_03,windspeedmean_04,windspeedmean_05,windspeedmean_06,windspeedmean_07,windspeedmean_08,windspeedmean_09,windspeedmean_10,windspeedmean_11,windspeedmean_12,windspeedmin_01,windspeedmin_02,windspeedmin_03,windspeedmin_04,windspeedmin_05,windspeedmin_06,windspeedmin_07,windspeedmin_08,windspeedmin_09,windspeedmin_10,windspeedmin_11,windspeedmin_12,sealevelpressure_01,sealevelpressure_02,sealevelpressure_03,sealevelpressure_04,sealevelpressure_05,sealevelpressure_06,sealevelpressure_07,sealevelpressure_08,sealevelpressure_09,sealevelpressure_10,sealevelpressure_11,sealevelpressure_12,cloudcover_01,cloudcover_02,cloudcover_03,cloudcover_04,cloudcover_05,cloudcover_06,cloudcover_07,cloudcover_08,cloudcover_09,cloudcover_10,cloudcover_11,cloudcover_12,solarradiation_01,solarradiation_02,solarradiation_03,solarradiation_04,solarradiation_05,solarradiation_06,solarradiation_07,solarradiation_08,solarradiation_09,solarradiation_10,solarradiation_11,solarradiation_12,solarenergy_01,solarenergy_02,solarenergy_03,solarenergy_04,solarenergy_05,solarenergy_06,solarenergy_07,solarenergy_08,solarenergy_09,solarenergy_10,solarenergy_11,solarenergy_12,uvindex_01,uvindex_02,uvindex_03,uvindex_04,uvindex_05,uvindex_06,uvindex_07,uvindex_08,uvindex_09,uvindex_10,uvindex_11,uvindex_12,day_length_01,day_length_02,day_length_03,day_length_04,day_length_05,day_length_06,day_length_07,day_length_08,day_length_09,day_length_10,day_length_11,day_length_12
Japan/Wakkanai,2001,139,45.415,141.6788889,2001-05-19,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32949.41935483871,37363.86206896552,42960.77419354839,48713.1,53642.70967741936,56187.4,54939.645161290326,50619.41935483871,45111.8,39393.25806451613,34316.96666666667,31627.8064516129
Japan/Wakkanai,2002,122,45.415,141.6788889,2002-05-02,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33031.1935483871,37406.32142857143,42914.25806451613,48669.23333333333,53610.8064516129,56181.8,54964.06451612903,50660.51612903226,45157.3,39437.45161290323,34350.46666666667,31633.93548387097
Japan/Wakkanai,2003,134,45.415,141.6788889,2003-05-14,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33004.16129032258,37363.357142857145,42867.645161290326,48625.333333333336,53578.6129032258,56176.1,54988.29032258064,50701.29032258064,45202.76666666667,39481.74193548387,34384.23333333333,31640.064516129038
Japan/Wakkanai,2004,133,45.415,141.6788889,2004-05-12,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32977.645161290326,37320.46428571428,42821.25806451613,48581.53333333333,53546.45161290323,56170.13333333333,55012.096774193546,50741.83870967742,45248.2,39526.0,34418.13333333333,31646.548387096773
Japan/Wakkanai,2005,148,45.415,141.6788889,2005-05-28,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32951.1935483871,37368.41379310345,42966.54838709677,48719.7,53648.45161290323,56189.73333333333,54937.54838709677,50614.45161290323,45105.46666666667,39386.77419354839,34311.1,31625.64516129032
Japan/Wakkanai,2006,140,45.415,141.6788889,2006-05-20,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33033.48387096774,37411.03571428572,42920.41935483871,48676.0,53616.45161290323,56184.2,54961.48387096774,50654.87096774193,45150.7,39430.8064516129,34344.86666666667,31631.774193548383
Japan/Wakkanai,2007,137,45.415,141.6788889,2007-05-17,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33006.77419354839,37368.78571428572,42874.16129032258,48632.23333333333,53584.25806451613,56178.16666666666,54985.29032258064,50695.1935483871,45195.8,39474.967741935485,34378.8,31638.483870967742
Japan/Wakkanai,2008,126,45.415,141.6788889,2008-05-05,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32980.70967741936,37326.28571428572,42828.25806451613,48588.5,53552.0,56171.66666666666,55008.58064516129,50735.32258064516,45240.93333333333,39519.096774193546,34413.03333333333,31645.64516129032
Japan/Wakkanai,2009,132,45.415,141.6788889,2009-05-12,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32954.903225806454,37374.75862068965,42973.54838709677,48726.4,53653.41935483871,56190.5,54933.29032258064,50607.58064516129,45098.26666666667,39380.0,34306.666666666664,31625.290322580644
Japan/Wakkanai,2010,145,45.415,141.6788889,2010-05-25,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33037.70967741936,37417.78571428572,42927.3870967742,48682.53333333333,53620.93548387097,56184.23333333333,54956.74193548387,50647.83870967742,45143.46666666667,39424.35483870968,34340.73333333333,31632.09677419355
